marka,model,ostecenje,snaga,registrovan,kilometraza,kubikaza,gorivo,mjenjac,god,cena
Audi,A3,Bez oštećenja,149,Ne,243450,2000,Dizel,Manuelni,2014,12800
Audi,SQ7,Bez oštećenja,435,Da,170000,4000,Dizel,Automatski,2020,80000
Škoda,Octavia,Bez oštećenja,116,Ne,266000,1598,Dizel,Automatski,2015,11000
Volkswagen,Golf 6,Bez oštećenja,110,Da,224882,1968,Dizel,Manuelni,2009,6800
Infiniti,QX70,Bez oštećenja,238,Da,230000,2993,Dizel,Automatski,2016,17900
Mercedes Benz,GLE 400,Bez oštećenja,331,Da,70000,2925,Dizel,Automatski,2022,80000
Volkswagen,Sharan,Bez oštećenja,140,Ne,292000,2000,Dizel,Automatski,2011,10500
Volkswagen,Golf 7,Bez oštećenja,150,Da,264000,2000,Dizel,Automatski,2013,12500
Mercedes Benz,V class,Bez oštećenja,190,Ne,152000,2143,Dizel,Automatski,2016,48900
Volkswagen,T-Roc,Bez oštećenja,116,Ne,166000,2000,Dizel,Manuelni,2021,18500
Mercedes Benz,GLC 200,Bez oštećenja,163,Ne,159000,2000,Dizel,Automatski,2022,35500
BMW,118,Bez oštećenja,150,Ne,156000,2000,Dizel,Automatski,2021,23990
Jeep,Renegade,Bez oštećenja,120,Ne,164000,2000,Dizel,Manuelni,2018,14400
Mercedes Benz,ML 350,Bez oštećenja,258,Da,223000,2987,Dizel,Automatski,2012,20500
Volkswagen,Passat,Bez oštećenja,119,Ne,119161,1600,Dizel,Automatski,2019,18900
Fiat,500X,Bez oštećenja,95,Ne,172800,1300,Dizel,Manuelni,2015,9950
Ford,C-Max,Bez oštećenja,115,Da,184000,1997,Dizel,Automatski,2014,7950
Renault,Megane,Bez oštećenja,110,Da,210000,1468,Dizel,Manuelni,2015,6500
Mazda,CX-5,Bez oštećenja,150,Da,220000,2191,Dizel,Automatski,2015,15300
Mercedes Benz,GL 320,Bez oštećenja,224,Da,252500,2987,Dizel,Automatski,2008,16500
